code|cmp_size|name|cmp_cnt|cmp_sales|cmp_date|tel|addr|avg_sal
54|3|신세계I&C|211|1240321|19950128|061-998-2321|전남 여수시|5400
55|3|CJ시스템즈|400|5784000|20010414|062-552-1244|전남 광주시|5430
56|3|동양시스템즈|1200|845000|20020510|042-887-4721|충남 대전시|3900
57|3|대상정보기술|1452|9875400|20111101|041-252-2399|충남 아산시|4629
58|3|쌍용정보통신|111|548000|20060731|063-822-1522|전북 정읍시|4525
59|3|동부정보기술|350|692000|20160121|063-765-1232|전북 익산시|3824
60|3|KB데이터시스템|567|7456000|19970508|063-2352-5999|전북 전주시|3978
61|3|아시아나idt|778|4563200|19711022|061-4442-9982|전남 해남시|3726
62|3|SKC&C|927|778400|19900829|055-3043-3444|경남 통영시|4888
63|3|한전KDN|399|448500|20140117|053-2019-5921|경남 창원시|5263
64|3|대림I&S|588|6784000|19951226|053-9988-9921|경남 남해군|4550
65|3|KT인포텍|992|85497000|19940101|033-1223-4433|강원 원주시|3821
66|3|한진정보기술|1022|4448570|19940725|043-2932-1122|충북 공주시|3499
67|3|롯데정보통신|324|3984000|19881212|062-4681-1778|전남 광주시|5241
68|3|농심테이터시스템|577|7418640|20000131|033-4694-5354|강원 속초시|3844
69|3|교보정보통신|672|5487000|20010827|054-8879-4515|경북 안동시|3266
70|3|한미IT|211|648500|20050930|061-2232-1952|전남 나주시|3180
71|2|종근당(주)|250|3542000|20100212|033-1231-2231|강원 강릉시|4400
72|2|교원그룹|499|4253500|19980131|033-511-0921|강원 춘천시|3300
73|2|엔씨소프트(주)|320|7405000|20040401|064-3231-5231|제주 서귀포시|3100
74|2|아이다스(주)|400|2321000|20060501|063-2001-2311|전북 전주시|3150
75|2|반도건설(주)|320|8322000|20010720|063-7721-2321|전북 군산시|2900
76|2|풀무원(주)|250|445000|19960215|061-7816-5612|전남 남원시|2950
77|2|빙그레(주)|510|8972000|20011230|042-2311-5881|충남 대전시|3110
78|2|BGF리테일(주)|170|154200|20050816|043-2221-2222|충북 제천시|3210
79|2|셀트리온(주)|195|4527800|20011021|041-1123-4211|충남 보령시|2800
80|2|NHN|220|21198700|20020501|055-4211-2311|경남 거제시|2870
81|1|이쓰리티에스(주)|221|147000|20010203|033-1211-5555|강원 동해시|2400
82|1|코드크레인|180|895400|20010128|033-2211-4521|강원 삼척시|2600
83|1|맨파워그룹코리아(주)|300|775910|19990314|033-555-2211|강원 춘천시|2350
84|1|코드베르그(주)|389|5423000|19920510|062-2911-5555|전남 광주시|2200
85|1|씨디데이터(주)|471|8723000|19900806|061-9900-9921|전남 목포시|2800
86|1|가이온(주)|238|523200|19980101|063-8873-2222|전북 김제시|2340
87|1|대상정보기술(주)|356|223200|19970104|041-2123-2321|충남 세종시|2500
88|1|엔셀(주)|457|3242000|20010501|041-8872-5521|충남 계룡시|2560
89|1|아이비리더스(주)|449|5802000|20070301|041-6542-6671|충남 서산시|2345
90|1|씨엠티정보통신(주)|289|323000|20060101|041-8871-5882|충남 당진시|2620
91|1|삼보컴퓨터(주)|213|547200|20120510|043-7794-5654|충북 충주시|2730
92|1|서원정보(주)|998|4875000|20110912|043-2211-5568|충북 청주시|2770
93|1|메이크인(주)|511|2311000|19881112|033-9877-7711|강원 태백시|2360
94|1|동호에이치알(주)|131|522100|19991215|052-0909-9991|경남 울산시|2510
95|1|스탠다드뱅크(주)|225|230010|20010601|054-0082-1779|경북 포항시|2610
96|1|세원아이엔씨(주)|323|388211|20010904|054-8761-1829|경북 영주시|2870
97|1|헬로서치(주)|402|221000|19990909|054-2398-5878|경북 구미시|2300
98|1|솔데스크(주)|210|431200|19980818|062-2312-5981|전남 광주시|2100
99|1|와이즈인포넷(주)|221|222130|19780701|054-9090-1241|경북 상주시|2310
100|1|스마트스코어(주)|188|521102|20000101|054-8872-2312|경북 문경시|2510
101|1|스코어(주)|158|52110|19990101|064-8872-2312|제주 제주시|2510
